O*NET-SOC Code,Title,Thinking Creatively Combined,Originality Combined,Fluency of Ideas Combined,Technology Design Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined"
11-9161.00,Emergency Management Directors,2.8057857142857143,2.6185714285714288,2.748571428571428,1.0357142857142856,1.3631714285714285
11-9171.00,Funeral Home Managers,3.350857142857143,1.7734857142857143,1.8571428571428568,1.0664285714285715,1.135
11-9179.01,Fitness and Wellness Coordinators,2.839428571428571,2.1357142857142857,2.3857142857142857,1.231428571428571,1.1366142857142858
11-9179.02,Spa Managers,2.6900857142857144,2.023657142857143,2.2071428571428573,1.1734857142857142,1.1167857142857145
11-9199.01,Regulatory Affairs Managers,2.6272,1.8914285714285717,2.096342857142857,1.0664285714285715,1.0638857142857143
11-9199.02,Compliance Managers,2.625657142857143,1.8057142857142856,1.9285714285714288,1.0803571428571428,1.1178571428571429
11-9199.08,Loss Prevention Managers,2.505285714285714,2.2308,2.06,1.12,1.3631714285714285
11-9199.09,Wind Energy Operations Managers,3.107671428571429,1.8914285714285717,2.0028571428571427,1.1785714285714286,2.6744714285714286
11-9199.10,Wind Energy Development Managers,2.538457142857143,1.8728571428571428,2.023657142857143,1.1071428571428572,1.2700714285714283
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.5860571428571437,2.096342857142857,2.36,1.1735714285714285,1.3338571428571429
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.2403,2.023657142857143,2.086428571428572,1.0206285714285714,1.0169714285714286
13-1021.00,"Buyers and Purchasing Agents, Farm Products",2.6100000000000003,1.8571428571428568,1.8571428571428568,1.1071428571428572,1.0802571428571428
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",2.130285714285714,1.8914285714285717,1.8914285714285717,1.0549142857142857,1.0839142857142856
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.392,1.8571428571428568,1.9449142857142856,1.0803571428571428,1.3647142857142855
13-1031.00,"Claims Adjusters, Examiners, and Investigators",1.8495714285714284,1.6063428571428573,1.7200000000000002,1.0803571428571428,1.0325
13-1032.00,"Insurance Appraisers, Auto Damage",1.886757142857143,1.5165142857142857,1.5165142857142857,1.0271428571428571,1.2672
13-1041.00,Compliance Officers,1.8412857142857144,1.7036571428571428,1.7857142857142856,1.0271428571428571,1.096
13-1041.01,Environmental Compliance Inspectors,1.8414285714285712,1.837942857142857,1.9842857142857144,1.0942857142857143,1.217142857142857
13-1041.03,Equal Opportunity Representatives and Officers,2.222857142857143,1.94,2.071428571428571,1.0942857142857143,1.0095142857142858
