O*NET-SOC Code,Title,Technology Design Combined,Developing Objectives and Strategies Combined,Fluency of Ideas Combined,Writing Combined,Thinking Creatively Combined,Originality Combined
29-1151.00,Nurse Anesthetists,1.1257142857142857,2.534885714285714,2.275,2.19,2.5006,1.9842857142857144
29-1161.00,Nurse Midwives,1.0942857142857143,2.3838285714285714,1.9842857142857144,2.645714285714285,2.470285714285714,1.8571428571428568
29-1171.00,Nurse Practitioners,1.1071428571428572,2.1448857142857145,2.1635714285714283,2.7142857142857144,2.5694857142857144,1.8914285714285717
29-1181.00,Audiologists,1.1885714285714286,2.355542857142857,1.9285714285714288,2.821428571428571,2.2517428571428573,1.9085714285714288
29-1211.00,Anesthesiologists,1.0885714285714283,2.198242857142857,2.044642857142857,2.7142857142857144,2.4632,1.8057142857142856
29-1213.00,Dermatologists,1.1257142857142857,2.3158857142857143,2.0342857142857143,2.4285714285714284,1.6446,2.0
29-1214.00,Emergency Medicine Physicians,1.0442857142857145,1.8609142857142855,2.524285714285714,2.8363428571428573,2.3940571428571427,2.4522285714285714
29-1215.00,Family Medicine Physicians,1.0135714285714286,1.9919714285714285,1.9449142857142856,2.8363428571428573,1.441,1.8914285714285717
29-1216.00,General Internal Medicine Physicians,1.0942857142857143,2.066628571428572,2.2471428571428573,2.765714285714286,2.2122,2.0342857142857143
29-1217.00,Neurologists,1.1257142857142857,2.9717714285714285,2.6393714285714287,2.877142857142857,3.052914285714285,2.3192
29-1218.00,Obstetricians and Gynecologists,1.0271428571428571,2.554,2.023657142857143,2.7142857142857144,2.4025,1.9449142857142856
29-1221.00,"Pediatricians, General",1.0206285714285714,1.9597714285714285,1.9657142857142855,2.7142857142857144,1.4641,1.9285714285714288
29-1222.00,"Physicians, Pathologists",1.1885714285714286,2.0619428571428573,2.06,3.2285714285714286,2.4041571428571427,2.0
29-1223.00,Psychiatrists,1.0442857142857145,2.4015142857142857,2.3192,2.9522285714285714,2.7178571428571425,2.1635714285714283
29-1224.00,Radiologists,1.0535714285714286,2.308114285714286,1.9285714285714288,2.9522285714285714,2.2939,1.8914285714285717
29-1229.01,Allergists and Immunologists,1.1408,2.766728571428572,2.524285714285714,2.894285714285714,2.2672,2.275
29-1229.02,Hospitalists,1.0664285714285715,2.330285714285714,2.1357142857142857,2.8020571428571426,2.3028571428571425,2.071428571428571
29-1229.03,Urologists,1.0271428571428571,3.1918,2.1492,2.8363428571428573,3.1366428571428573,1.9842857142857144
29-1229.04,Physical Medicine and Rehabilitation Physicians,1.2142857142857144,2.6947,2.3857142857142857,2.571428571428571,2.678857142857143,2.3192
29-1229.05,Preventive Medicine Physicians,1.0549142857142857,3.0436428571428573,2.877142857142857,3.1750857142857143,2.7812714285714284,2.4971428571428573
29-1229.06,Sports Medicine Physicians,1.2036571428571428,2.3176,2.3392857142857144,2.524285714285714,2.814057142857143,2.25
29-1241.00,"Ophthalmologists, Except Pediatric",1.1785714285714286,3.284957142857144,2.1085714285714285,2.7142857142857144,2.498828571428571,2.1750857142857143
29-1291.00,Acupuncturists,1.0206285714285714,2.0974,1.8057142857142856,2.06,2.6019428571428573,1.8057142857142856
29-1292.00,Dental Hygienists,1.1106285714285715,2.367857142857143,1.7036571428571428,1.9449142857142856,2.4234285714285715,1.4906285714285716
29-1299.01,Naturopathic Physicians,1.0942857142857143,2.352457142857143,2.3857142857142857,2.7142857142857144,2.8029714285714284,2.2471428571428573
29-1299.02,Orthoptists,1.157142857142857,1.7369285714285714,1.9842857142857144,2.4285714285714284,1.8767714285714288,1.8914285714285717
29-2011.00,Medical and Clinical Laboratory Technologists,1.0357142857142856,1.9742857142857144,1.6875,2.096342857142857,1.9312857142857145,1.5892857142857142
29-2011.01,Cytogenetic Technologists,1.0535714285714286,1.5797714285714286,1.822857142857143,2.571428571428571,1.7542857142857144,1.8057142857142856
29-2011.02,Cytotechnologists,1.0271428571428571,1.3674857142857144,1.595,1.9657142857142855,1.3257142857142856,1.4017857142857142
29-2011.04,Histotechnologists,1.0885714285714283,1.5916571428571429,1.7200000000000002,1.9842857142857144,1.5325714285714285,1.7200000000000002
29-2012.00,Medical and Clinical Laboratory Technicians,1.197142857142857,1.914642857142857,1.7734857142857143,1.9085714285714288,2.0123,1.7734857142857143
29-2012.01,Histology Technicians,1.077942857142857,1.4224,1.3785714285714286,1.8571428571428568,1.6528,1.302857142857143
29-2031.00,Cardiovascular Technologists and Technicians,1.0942857142857143,1.699285714285714,1.8057142857142856,2.06,1.838514285714285,1.5614285714285714
29-2032.00,Diagnostic Medical Sonographers,1.1785714285714286,1.637714285714286,1.822857142857143,2.086428571428572,1.9320857142857144,1.822857142857143
29-2033.00,Nuclear Medicine Technologists,1.0803571428571428,1.5638285714285716,1.7734857142857143,2.2071428571428573,1.8093285714285716,1.6875
29-2034.00,Radiologic Technologists and Technicians,1.077942857142857,1.3857,1.4435714285714285,1.8571428571428568,1.7714285714285714,1.3785714285714286
29-2035.00,Magnetic Resonance Imaging Technologists,1.0442857142857145,1.8652,1.7385714285714284,1.9449142857142856,2.3788,1.6364285714285711
29-2036.00,Medical Dosimetrists,1.157142857142857,2.3091428571428567,2.06,2.7207142857142856,3.084928571428572,1.9657142857142855
29-2051.00,Dietetic Technicians,1.1071428571428572,1.882442857142857,1.9842857142857144,1.9449142857142856,2.158428571428572,1.8914285714285717
29-2052.00,Pharmacy Technicians,1.0803571428571428,1.5646857142857142,1.4542857142857144,1.8571428571428568,1.627,1.32
29-2053.00,Psychiatric Technicians,1.0942857142857143,1.2595714285714286,1.8057142857142856,2.0028571428571427,1.6833999999999998,1.6942857142857144
29-2055.00,Surgical Technologists,1.1408,1.8451,1.7734857142857143,1.8057142857142856,2.007428571428571,1.5357142857142858
29-2056.00,Veterinary Technologists and Technicians,1.1257142857142857,1.524857142857143,1.8057142857142856,1.9642857142857144,1.764342857142857,1.8057142857142856
29-2057.00,Ophthalmic Medical Technicians,1.0,1.3455714285714286,1.5357142857142858,1.9085714285714288,1.404585714285714,1.268571428571429
29-2061.00,Licensed Practical and Licensed Vocational Nurses,1.1071428571428572,2.0904,1.8057142857142856,2.0028571428571427,1.9126142857142856,1.6665142857142858
