4MA Error,4MA Squared Error,4MA Absolute Error
246.75,60941,246.75
-1901.0,3615188,1901.0
-1646.5,2713200,1646.5
-500.25,252166,500.25
-484.5,235546,484.5
-1385.25,1918978,1385.25
-1354.0,1834682,1354.0
-1471.75,2166352,1471.75
361.25,131141,361.25
298.0,91058,298.0
1846.5,3409685,1846.5
1434.5,2058962,1434.5
-1189.0,1415368,1189.0
-3684.5,13580046,3684.5
-386.75,149587,386.75
-2364.5,5591166,2364.5
-2124.0,4514214,2124.0
-215.5,46796,215.5
-236.0,55760,236.0
631.75,400031,631.75
-3049.5,9300310,3049.5
-297.5,89132,297.5
81.0,6670,81.0
1303.0,1698985,1303.0
1170.5,1370169,1170.5
-55.0,6632,60.0
-633.75,402622,633.75
-1854.5,3439400,1854.5
-691.5,478325,691.5
-2401.75,5769829,2401.75
1614.0,2605272,1614.0
-1598.5,2555252,1598.5
-82.5,11862,82.5
-334.5,112146,334.5
-1787.25,3194450,1787.25
-261.5,69194,261.5
282.0,81294,282.0
-2291.5,5251128,2291.5
869.0,755864,869.0
-66.5,6366,66.5
-1443.25,2084050,1443.25
526.75,277778,526.75
638.5,409630,638.5
-3748.25,14052275,3748.25
637.75,406786,637.75
-950.0,902679,950.0
-503.5,254932,503.5
623.5,390984,623.5
132.5,17838,132.5
-3029.5,9178057,3029.5
199.5,41132,199.5
-3034.0,9206432,3034.0
-2546.0,6482304,2546.0
-213.5,45780,213.5
34.75,5424,64.75
889.75,791781,889.75
-2088.75,4363390,2088.75
-441.75,208367,441.75
787.75,622019,787.75
-326.0,108460,326.0
-439.5,193869,439.5
888.5,789434,888.5
-1002.5,1005750,1002.5
-324.75,108532,324.75
-670.5,451464,670.5
679.0,462350,679.0
1605.5,2577645,1605.5
-76.25,6235,76.25
1187.5,1410688,1187.5
-234.25,55551,234.25
-2350.75,5526277,2350.75
1698.25,2885198,1698.25
-718.25,517562,718.25
-1342.0,1803808,1342.0
1635.75,2675844,1635.75
1037.5,1085162,1037.5
-984.25,969348,984.25
304.25,94811,304.25
894.75,803270,894.75
1884.25,3550424,1884.25
-412.25,171643,412.25
1081.5,1170978,1081.5
1659.25,2753545,1659.25
40.75,1759,40.75
474.75,227222,474.75
-2232.5,4989026,2232.5
344.5,124096,344.5
-846.75,717255,846.75
-1310.75,1718662,1310.75
-1263.0,1597178,1263.0
-620.75,385333,620.75
-592.25,350956,592.25
-1496.75,2241697,1496.75
657.75,441998,657.75
2992.25,8953861,2992.25
659.0,434390,659.0
519.0,270164,519.0
1168.0,1366604,1168.0
292.5,90328,292.5
673.75,453967,673.75
311.0,99932,311.0
1456.0,2120300,1456.0
593.0,352062,593.0
504.0,254068,504.0
2788.0,7774024,2788.0
-2577.75,6646686,2577.75
-215.75,49778,215.75
1913.75,3662473,1913.75
2227.5,4962604,2227.5
690.5,485646,690.5
-2751.5,7574764,2751.5
-3832.25,14686235,3832.25
-2092.75,4380497,2092.75
649.75,424960,649.75
-5852.5,34251968,5852.5
2229.5,4970854,2229.5
1141.75,1306805,1141.75
-5035.75,25359899,5035.75
-2676.0,7161076,2676.0
-1198.5,1440356,1198.5
-8382.75,70272814,8382.75
-346.25,120491,346.25
-7.25,348,15.25
-2364.5,5592885,2364.5
-2514.25,6322384,2514.25
-2079.75,4325593,2079.75
-1436.25,2063172,1436.25
1049.25,1102321,1049.25
-847.75,718742,847.75
-902.0,813638,902.0
452.0,205868,452.0
118.25,14135,118.25
-1725.25,2982079,1725.25
2278.25,5191666,2278.25
1090.5,1189242,1090.5
486.25,236578,486.25
-2656.75,7058821,2656.75
-1774.75,3186419,1774.75
-463.25,215795,463.25
-11100.0,123211488,11100.0
-10530.0,110888694,10530.0
-2497.5,6238494,2497.5
-920.75,851480,920.75
-731.0,541192,731.0
396.0,158400,396.0
-2782.5,7742405,2782.5
-1122.5,1260298,1122.5
-866.75,760549,866.75
-1139.75,1301291,1139.75
7205.5,52130259,7205.5
1623.75,2652282,1623.75
-2535.75,6434458,2535.75
-1310.25,1724001,1310.25
982.5,967378,982.5
-852.25,740831,852.25
1731.25,2999810,1731.25
-3024.0,9149249,3024.0
-1119.0,1252178,1119.0
1041.5,1088265,1041.5
-925.25,856193,925.25
941.0,885756,941.0
1090.75,1189823,1090.75
-587.25,345852,587.25
222.25,50476,222.25
-15.25,436,15.25
-1643.75,2706718,1643.75
170.25,32738,170.25
-1037.0,1079910,1037.0
-933.0,874358,933.0
4747.0,22537812,4747.0
1147.25,1317224,1147.25
-1721.75,2964756,1721.75
280.25,80343,280.25
1933.0,3746151,1933.0
5392.75,29081853,5392.75
-793.5,641427,793.5
1407.5,1983136,1407.5
2805.75,7873244,2805.75
-1632.0,2667386,1632.0
3380.75,11429594,3380.75
995.5,993685,995.5
3521.0,12406661,3521.0
2488.5,6194223,2488.5
2773.75,7698014,2773.75
5316.75,28269797,5316.75
5322.25,28334651,5322.25
-1224.75,1500705,1224.75
1557.25,2426944,1557.25
2251.25,5068227,2251.25
1054.5,1112733,1054.5
3709.25,13762874,3709.25
1003.0,1006756,1003.0
6060.0,36740604,6060.0
1294.5,1676113,1294.5
1061.75,1128892,1061.75
209.25,46469,209.25
4731.5,22387428,4731.5
3645.5,13298760,3645.5
330.0,126200,330.0
3113.0,9694409,3113.0
2957.5,8747046,2957.5
2571.5,6612802,2571.5
2304.25,5314754,2304.25
3596.75,12938362,3596.75
-727.75,530798,727.75
2761.0,7624035,2761.0
3838.5,14758498,3838.5
2307.25,5325206,2307.25
-286.5,82097,286.5
-319.25,103889,319.25
2392.25,5727673,2392.25
-980.5,962515,980.5
-170.75,29332,170.75
-288.5,83270,288.5
-509.75,260082,509.75
2067.25,4274065,2067.25
1525.0,2336450,1525.0
1378.25,1901958,1378.25
-139.5,20972,139.5
-2100.5,4412926,2100.5
-766.5,587536,766.5
-2858.5,8171454,2858.5
1749.5,3060900,1749.5
-277.0,76958,277.0
332.0,110702,332.0
164.75,27534,164.75
-192.0,37176,192.0
-1478.0,2190826,1478.0
-2455.0,6032492,2455.0
-1055.0,1113794,1055.0
-515.75,266025,515.75
75.0,5694,75.0
1021.0,1042815,1021.0
-1000.25,1005890,1000.25
-945.25,893631,945.25
337.25,115070,337.25
-2022.5,4090574,2022.5
-1750.5,3069012,1750.5
-337.25,117370,337.25
-2320.0,5382966,2320.0
851.0,724644,851.0
-934.0,872516,934.0
-1526.75,2336084,1526.75
-958.75,926816,958.75
-494.75,244838,494.75
-302.75,91724,302.75
2954.0,8730550,2954.0
-3340.0,11157512,3340.0
-1433.75,2055647,1433.75
-503.0,253048,503.0
-580.25,338198,580.25
-1273.25,1621677,1273.25
-2024.5,4098660,2024.5
-2675.0,7155640,2675.0
-869.25,770312,869.25
-880.5,775538,880.5
-1274.0,1623694,1274.0
990.5,983304,990.5
1734.5,3008662,1734.5
-984.5,969250,984.5
660.0,435874,660.0
-2604.75,6786552,2604.75
-77.5,6138,77.5
-2231.25,4979262,2231.25
-1197.25,1433682,1197.25
-1190.75,1418556,1190.75
-2527.75,6389554,2527.75
929.75,865626,929.75
-1050.75,1104197,1050.75
-1596.75,2549845,1596.75
355.0,126034,355.0
-664.25,441418,664.25
128.75,19205,128.75
4412.0,19465757,4412.0
2305.25,5314183,2305.25
-2510.75,6303926,2510.75
-630.25,398396,630.25
572.25,327738,572.25
2797.5,7828726,2797.5
-673.0,453980,673.0
-1515.0,2298625,1515.0
-1396.25,1951336,1396.25
-898.0,807850,898.0
-867.25,752953,867.25
-89.25,8225,89.25
-1595.0,2544109,1595.0
-329.75,108866,329.75
-459.0,210940,459.0
-968.25,939403,968.25
892.75,797870,892.75
1512.75,2290913,1512.75
-28.75,1671,30.25
2877.25,8279754,2877.25
1366.0,1865970,1366.0
-2239.5,5015498,2239.5
-150.5,23709,150.5
