O*NET-SOC Code,Title,Analyzing Data or Information Combined,Documenting/Recording Information Combined,E-Mail,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined",Getting Information Combined,Information Ordering Combined,Interpreting the Meaning of Information for Others Combined,Processing Information Combined,Programming Combined,Working with Computers Combined
15-1299.03,Document Management Specialists,2.689642857142857,2.8803571428571426,5.0,1.948214285714286,3.1214285714285714,2.524285714285714,2.1839285714285714,2.9800000000000004,1.4028571428571428,2.8257142857142856
15-1299.05,Information Security Engineers,3.4312142857142858,3.2074857142857143,5.0,1.6297428571428572,3.395,2.524285714285714,2.845471428571429,3.234571428571429,2.023657142857143,4.362071428571428
15-1299.08,Computer Systems Engineers/Architects,2.7527714285714286,2.8932857142857147,4.82,1.9195714285714285,3.1677857142857144,2.645714285714285,2.4151,3.034785714285714,2.517857142857143,4.033371428571428
15-1299.09,Information Technology Project Managers,3.234571428571429,3.2557857142857145,4.95,3.034785714285714,3.621428571428571,2.596342857142857,3.288185714285714,3.3908857142857145,1.289285714285714,3.609828571428571
15-2011.00,Actuaries,4.470557142857143,2.17,5.0,2.4443714285714284,3.816828571428572,2.645714285714285,3.2018285714285715,4.2171,1.4,3.386742857142857
15-2021.00,Mathematicians,4.194999999999999,2.309285714285714,4.55,2.333928571428572,3.5650000000000004,3.0077714285714285,3.3599999999999994,3.875714285714285,1.5892857142857142,3.2750000000000004
15-2031.00,Operations Research Analysts,4.245328571428572,2.4059285714285714,4.81,2.932,4.012857142857142,2.6950857142857143,3.5133142857142863,3.982857142857144,1.6364285714285711,3.5218142857142856
15-2041.00,Statisticians,4.786357142857144,3.3205714285714283,5.0,3.0507142857142857,3.715,2.571428571428571,4.097428571428572,4.438071428571428,1.8914285714285717,3.877857142857143
15-2041.01,Biostatisticians,4.103771428571428,2.4000000000000004,4.71,1.706714285714286,2.880457142857143,2.748571428571428,3.2877142857142854,3.382028571428571,2.36,3.3568571428571428
15-2051.01,Business Intelligence Analysts,4.245100000000001,2.4107142857142856,4.95,2.238771428571429,3.705,2.4971428571428573,3.7182857142857135,3.9796,1.5357142857142858,3.554971428571428
15-2051.02,Clinical Data Managers,3.185714285714285,3.538214285714286,5.0,1.945,3.45,2.782857142857143,2.4107142857142856,3.849214285714286,2.1635714285714283,3.2464285714285714
15-2099.01,Bioinformatics Technicians,4.373257142857144,2.912114285714285,4.87,2.3405714285714287,4.042714285714286,2.354914285714286,3.3190857142857144,4.5129142857142845,1.9085714285714288,3.9325
17-1011.00,"Architects, Except Landscape and Naval",2.681985714285714,2.9693000000000005,4.95,2.0435857142857143,3.346685714285714,2.7142857142857144,2.477142857142857,2.7072571428571424,1.157142857142857,3.3959857142857146
17-1012.00,Landscape Architects,2.329642857142857,2.021428571428572,5.0,2.296214285714286,3.375,2.3392857142857144,1.7464285714285712,2.2696428571428573,1.0357142857142856,2.55
17-1021.00,Cartographers and Photogrammetrists,2.8436000000000003,2.682142857142857,4.87,2.481342857142857,3.580685714285714,2.125,2.2155571428571426,3.3489142857142853,1.1408,3.0874857142857146
17-1022.00,Surveyors,3.5500000000000003,3.5428571428571427,5.0,2.0685714285714285,3.345,2.4971428571428573,2.5814285714285714,3.687142857142857,1.0407142857142857,3.148257142857143
17-1022.01,Geodetic Surveyors,3.764114285714286,3.357142857142857,4.93,2.4821714285714287,3.520514285714286,2.7142857142857144,2.729285714285714,4.032771428571428,1.4928571428571429,3.2661571428571428
17-2011.00,Aerospace Engineers,3.945028571428572,3.4236000000000004,5.0,2.035,3.532314285714285,2.7142857142857144,3.165771428571428,4.211285714285713,1.28,3.9488
17-2021.00,Agricultural Engineers,4.068214285714285,3.4236000000000004,5.0,3.25,3.5875000000000004,2.6696428571428568,3.0082857142857145,3.775714285714285,1.268571428571429,3.801428571428572
17-2031.00,Bioengineers and Biomedical Engineers,4.073657142857144,3.104285714285714,4.87,2.3788,3.590928571428571,2.6950857142857143,2.9499714285714287,3.890571428571429,2.023657142857143,3.759142857142857
17-2041.00,Chemical Engineers,3.5248,2.8282857142857143,5.0,2.5225,3.484385714285714,2.877142857142857,2.950942857142857,3.490714285714285,1.4910714285714284,3.056685714285714
17-2051.00,Civil Engineers,2.951285714285714,2.5066428571428574,5.0,2.5383285714285715,3.3562000000000003,2.645714285714285,2.230057142857143,3.222142857142857,1.2363428571428572,2.833428571428571
17-2051.01,Transportation Engineers,3.265285714285714,2.8849,5.0,2.597514285714285,3.201014285714286,2.748571428571428,2.5968571428571425,3.2292142857142854,1.2665142857142857,3.0404285714285715
17-2051.02,Water/Wastewater Engineers,3.4608571428571424,2.669914285714285,4.96,2.4685714285714284,3.415,2.7142857142857144,2.5640285714285715,3.161928571428572,1.4,2.885242857142857
